127.0.0.1 - - [20/Jun/2017:16:20:23 +0200] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:20:44 +0200] "GET /liveweb/feedback HTTP/1.1" 200 14203
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:20:46 +0200] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:48:46 +0200] "GET /liveweb/index.jsp HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:48:54 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:49:42 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:50:16 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:50:24 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:50:42 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:51:13 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:52:14 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:52:33 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:52:48 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1654
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:53:47 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:54:24 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:54:30 +0200] "POST /liveweb/URL%20to%20form%20script HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:55:41 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:56:12 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:56:28 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:56:48 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [20/Jun/2017:16:56:59 +0200] "GET /liveweb/feedback HTTP/1.1" 200 1537
